brand_clean,listings,avg_price,median_price,total_units_sold,avg_units_sold,sales_proxy
Versace,53,36.890754716981135,37.63,128077.0,2416.5471698113206,4462322.28
Calvin Klein,34,24.86647058823529,24.799999999999997,145672.0,4284.470588235294,3767046.48
Davidoff,11,24.415454545454544,24.49,60289.0,5480.818181818182,1682640.8
Azzaro,15,42.802,26.97,38305.0,2553.6666666666665,1673078.61
Burberry,34,39.669117647058826,33.535,38361.0,1128.264705882353,1227084.05
Dolce & Gabbana,23,39.26869565217391,43.32,28570.0,1242.1739130434783,1090757.3
Paco Rabanne,47,59.397234042553194,49.99,23506.0,500.1276595744681,1071818.83
Yves Saint Laurent,54,56.77388888888889,54.49,13818.0,255.88888888888889,981944.86
Armaf,42,39.58714285714286,33.42,27120.0,645.7142857142857,967786.79
Ralph Lauren,50,38.4194,35.49,20849.0,416.98,938143.86
Dolce&Gabbana,61,43.542131147540985,33.37,16348.0,268.0,787990.0299999999
Hugo Boss,10,39.337,37.36,19502.0,1950.2,752005.05
Carolina Herrera,42,56.1504761904762,48.894999999999996,13284.0,316.2857142857143,732918.63
Giorgio Armani,71,52.7987323943662,44.99,13418.0,188.98591549295776,730919.22
Liz Claiborne,11,23.651818181818182,18.32,29170.0,2651.818181818182,648558.83
Coach,20,34.945499999999996,35.57,17056.0,852.8,630119.87
Kenneth Cole,8,22.44125,24.145,24636.0,3079.5,599882.22
Montblanc,10,39.511,34.3,13089.0,1308.9,550899.07
Gucci,25,53.7384,54.99,9158.0,366.32,543375.18
Perry Ellis,7,30.32714285714286,25.66,17279.0,2468.4285714285716,493386.60000000003
Juicy Couture,14,27.451428571428572,28.33,14799.0,1057.0714285714287,453796.67
Givenchy,24,53.82541666666666,49.99,9151.0,381.2916666666667,447501.99
Prada,23,62.56173913043479,66.55,5125.0,222.82608695652175,439907.85000000003
Jimmy Choo,18,37.81111111111111,35.685,12354.0,686.3333333333334,433681.46
Elizabeth Taylor,8,17.98125,17.705,20653.0,2581.625,383143.98000000004
Tommy Hilfiger,5,24.990000000000002,26.11,12582.0,2516.4,325618.94
Marc Jacobs,14,46.29357142857143,41.435,5645.0,403.2142857142857,290617.49
Guy Laroche,5,19.884,18.91,13132.0,2626.4,286259.15
Estée Lauder,13,31.358461538461537,29.49,8174.0,628.7692307692307,285436.14
Issey Miyake,7,36.94428571428572,31.87,5051.0,721.5714285714286,268255.74
Lanvin,6,21.99,22.38,9450.0,1575.0,254226.34
Jean Paul Gaultier,13,66.80923076923077,55.99,3243.0,249.46153846153845,231653.58
Viktor & Rolf,16,50.286875,49.74,3461.0,216.3125,223675.25
Alfred Sung,5,18.363999999999997,16.93,11451.0,2290.2,217079.81
Polo Ralph Lauren,13,37.36538461538461,33.99,6421.0,493.9230769230769,213418.08
Dior,15,71.598,84.99,3227.0,215.13333333333333,196326.18
Paris Hilton,5,23.474,24.5,7800.0,1560.0,192348.68
Abercrombie & Fitch,13,41.91076923076923,44.0,4093.0,314.84615384615387,180887.75
Valentino,21,72.06523809523809,79.99,2226.0,106.0,179770.68
Gianni Versace,5,44.827999999999996,40.63,4714.0,942.8,176431.40999999997
Salvatore Ferragamo,11,30.262727272727272,26.99,7215.0,655.9090909090909,173096.02000000002
Hermès,16,54.34375,55.535,2504.0,156.5,171396.25999999998
Thierry Mugler,19,47.33263157894737,44.99,2803.0,147.52631578947367,166806.34000000003
Britney Spears,8,19.005,19.09,8025.0,1003.125,151786.21000000002
Parfums De Marly,28,74.70964285714285,89.99,1828.0,65.28571428571429,148431.11000000002
Elizabeth Arden,12,20.383333333333333,18.134999999999998,7163.0,596.9166666666666,146950.51
