gender_segment,brand_clean,title,type_clean,price,sold,sales_proxy,price_segment
Men,Calvin Klein,Ck One by Calvin Klein Cologne Perfume Unisex 3.4 oz New In Box,Unknown,23.89,54052.0,1291302.28,Budget (<$25)
Men,Davidoff,Cool Water by Davidoff 4.2 oz EDT Cologne for Men New In Box,Eau de Toilette,25.23,40130.0,1012479.9,Mid-range ($25-$50)
Men,Calvin Klein,OBSESSION by Calvin Klein 4.0 oz 4 MEN edt Cologne New in Box,Eau de Toilette,23.56,24048.0,566570.88,Budget (<$25)
Men,2Nd To None,6 For $19.95 MEN(M) WOMEN(W) & UNISEX(U) Body Oil Fragrances 10 ml Roll On Pure,Concentrated Uncut Pure Body Oil,6.65,18882.0,125565.3,Budget (<$25)
Women,Calvin Klein,Escape by Calvin Klein EDP Perfume for Women 3.4 oz New In Box,Eau de Parfum,26.66,17854.0,475987.64,Mid-range ($25-$50)
Women,Vera Wang,VERA WANG Perfume 3.3 / 3.4 oz EDP For Women Spray NEW IN BOX,Eau de Parfume,25.25,15897.0,401399.25,Mid-range ($25-$50)
Men,Kenneth Cole,KENNETH COLE BLACK Cologne for Men 3.4 oz EDT Spray New in Box,Eau de Toilette,24.7,12865.0,317765.5,Budget (<$25)
Men,C.K,Eternity by Calvin Klein 3.4 oz EDT Cologne for Men Brand New Tester,Eau de Toilette,28.75,12739.0,366246.25,Mid-range ($25-$50)
Men,Burberry,Burberry Touch by Burberry EDT Cologne for Men 3.3 / 3.4 oz Brand New Tester,Eau de Toilette,28.25,12583.0,355469.75,Mid-range ($25-$50)
Men,Tommy Hilfiger,TOMMY BOY EST 1985 by Tommy Hilfiger Cologne edt men 3.4 / 3.3 oz NEW in BOX,Eau de Toilette,26.11,12184.0,318124.24,Mid-range ($25-$50)
